Condition,resp_porp,stim_val,pr2
Delay,0.25,0.129796725491523,0.821215451289537
Delay,0.5,0.154478596724978,0.821215451289537
Delay,0.75,0.183764011241412,0.821215451289537
Delay,0.95,0.245778529053357,0.821215451289537
Low Gravity,0.25,-5.8206496752597,-0.634485146029492
Low Gravity,0.5,-5.57045969447961,-0.634485146029492
Low Gravity,0.75,-5.60942984723981,-0.634485146029492
Low Gravity,0.95,-5.6484,-0.634485146029492
Ripple,0.25,0.0330476969387367,0.945184321670427
Ripple,0.5,0.0363536342745686,0.945184321670427
Ripple,0.75,0.0361330671372843,0.945184321670427
Ripple,0.95,0.0359125,0.945184321670427
